# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             179   N   00000200   000047a1   00000204   x14_a4     0000000b
             180   N   00000204   04f70563   00000206   x15_a5     00000008
             181   N   00000206   000047a5   0000020a   ---        --------
             182   N   0000020a   04f70263   0000020c   x15_a5     00000009
             183   N   0000020c   000047ad   00000210   ---        --------
             184   N   00000210   02f70f63   00000212   x15_a5     0000000b
             185   N   00000212   47ad0837   00000250   ---        --------
             188   N   00000250   00000013   00000ee0   ---        --------
             191   N   00000ee0   21428293   00000ee4   x05_t0     fffffee0
             192   N   00000ee4   00008282   00000ee8   x05_t0     000000f4
             193   N   00000ee8   00000013   000000f4   ---        --------
             196   N   000000f4   0000006f   000000f8   ---        --------
             197   N   000000f8   ffffffff   000000f8   ---        --------
